Text,classes
"মা তো মাই, রেগে গিয়ে না হয় একটু বকা দিছেই, তাই বলে খুন!!",NoAG
গত বছরের এই আগস্টেই ঐ একই রুটে রুপা নামক সংগ্রামী এক নারী ও ভবিতব্য আইনজীবীকে গণধর্ষণের হত্যা করা হয়। উক্ত অপরাধীর ৪ জনের দন্ডিত ফাঁসি এখনো কার্যকর হয় নি।এই ঘৃণিত দর্শকদের থামানোর জন্য একটি জনসমক্ষে ফাঁসি কার্যকর করার অনুরোধ জানাচ্ছি। নচেত এ ভাবে রূপারা বাসের ড্রাইভার হেলফারদের শিকার হতেই থাকবে। ,NoAG
পঁচিশ টাকা দিয়া চিপস্ কিনলাম। খুলেই দেখি মাত্র ০৭ পিছ্। বাকীটুকু বাতাস!!!!!!!,NoAG
ফাউল মার্কা খেলা গুলি দেখ বইসা বইসা? তার চাইতে বিটিভি দেখ ভালো লাগবো,NoAG
"মেসিরা বিধর্মী হয়েও মানবতার উজ্জল দৃস্টান্ত রাখলো,আর এখানে মেসিদের জায়গায় সৌদিআরব থাকতো তাইলে মানবতা গর্তে লুকাতো",NoAG
কালকের বাস শিডিউলটা দিলে ভালো হয়।,NoAG
"মাসরাফি তার হলফ নামায় উল্লেখ করেছে ঢাকায় যে তার ফ্লাট রয়েছে তার দাম ৮ লাখ টাকা আমি বি বি সির সংবাদের বরাত দিয়ে তাকে জানিয়ে দিতে চাই আমি তার ফ্লাটের দাম ১৭ লাখ দিব যদি সে বিক্রি করে, আর যদি সে বিক্রি করতে আগ্রহ না দেখায় তাহলে বুজতে হবে তার হলফ নামায় কারসাজি আছে।",NoAG
"ম্যাচ বাতিল করা হয়েছে। এই ম্যাচ না খেলার কারনে আর্জেন্টিনা আর্থিক ক্ষতির সম্মুখীন হবে ৩ মিলিয়ন ডলার। সেই ক্ষতিপূরণ সম্পূর্ণ মেসি নিজেই বহন করবে। ধন্যবাদ লিওনেল মেসি,, দোয়াকরি তোমরা বিশ্বকাপ জয় কর।",NoAG
আর্জেন্টিনা আর মেসিভক্ত হিসেবে এই খবরটা শোনার অপেক্ষায় ছিলাম,NoAG
আপনারা দিরিলিস চালু করুন। আর রবিবারের পরিবর্তে শনিবার থেকে শুরু করুন। দিরিলিসের কারনে আপনাদের চ্যানেল আজ জনপ্রিয়তায় অন্যান্য উচ্চতায়।,NoAG
নির্যাতিত ফিলিস্তিনিদের অনুরোধে ম্যাচ বাতিল করার জন্য আর্জেন্টিনাকে ধন্যবাদ.,NoAG
"ব্রাজিল সাপোর্ট করি, কিন্তুু মেসি কে খুবি পছন্দ করি,, নিউজটা সোনে মেসির প্রতি ভালোবাসা বেরে গেলো,, দোয়া করি শুধু মাএ মেসির জন্য হলেও, অার্জেন্টিনা এবার বিশ্বকাপ জিতুক,।",NoAG
স্বৈরাচার পডনের দুর্বার আন্দোলন এখনি শুরু করা আবশ্যক। এই সরকার রাজাকার আলবদরের চাইতেও জঘন্য হয়ে উঠেছে।,NoAG
"কখনো আর্জেন্টিনার সার্পোট করতাম না, তবুও ইসরাইলের সাথে ম্যাচ বাতিল করার জন্য ধন্যবাদ জানালাম।",NoAG
"আর্জেন্টিনাকে অনেক ধন্যবাদ, যদি খেলতে যেতো তাহলে বাংলাদেশের হাজারো ভক্তের অন্ধবিশ্বাস অার থাকতো না, মুসলিমদের হীয় করে জেরুজালেমকে পুরোপুরি দখলই ছিলো এই খেলার মূল লক্ষ,",NoAG
"ধন্যবাদ আর্জেন্টিনা ও মেসিকে। খুনি, দখলদার ইসরাইলের বিরুদ্ধে না খেলার জন্য। এর মাধ্যমে আর্জেন্টিনা সমর্থকদের মাঝে মেসিদের প্রতি ভালবাসা বেড়ে গেছে।",NoAG
মেসি মানুষ টা এমনই- যে শুধু অবিরাম ভালোবাসা পাওয়ারই যোগ্য। ধন্যবাদ মেসি। নিপীড়িত ফিলিস্তিনি জনগণের দোয়া একটু হলেও তুমি পাবে। লাভ ইউ বস।,NoAG
যদিও আমি ব্রাজিলের সমর্থক তবুও মেসিদের এই সিন্ধান্ত কে স্যালুট।কাপ টা যদি ব্রাজিলের হাতে না যায় তাহলে যেনো মেসির হাতে যায়।কারন তার এই কাপ টা প্রাপ্য।,NoAG
জামাইর পকেট থেকে টাকা চুরি করতে গিয়ে ধরা খাইসি। কখন যে পিছন দি দাড়াই ছিলো দেইখা এত্ত জোরে চিল্লান দিসি।৭ দিন চোরের ১ দিন গেরস্থ,NoAG
আমি যদিও ব্রাজিলের সমরথক তবুও আর্জেন্টিনা ফুটবল ফেডারেশনকে ধন্যবাদ ম্যাচটি বাতিল করার জন্য,NoAG
 আমি পঞ্চগড় জেলার আটোয়ারী উপজেলার রাধানগর প্রধান পাড়া থেকে বিবিসি লাইভ দেখছি। আমি পঞ্চগড় পর্যন্ত আন্তঃনগর ট্রেন এবং ঠাকুরগাঁও এর পুরাতন বিমানবন্দর চালু করার জন্য বর্তমান সরকারের পদক্ষেপ গ্রহনের জন্য জোর দাবী করছি। আশা করি বিবিসি গুরুত্বপূর্ণ ভূমিকা রাখবে।,NoAG
আন্তরিক কৃতজ্ঞতা ও ধন্যবাদ জানাচ্ছি। এজন্যই আমরা আর্জেন্টিনা ফুটবলের একনিষ্ঠ সমর্থক।,NoAG
"যদি উরুগুয়ে ভাল দল,তবে মিশরের আছে সালাহ এর মত প্লেয়ার।অনিশ্চিত সব, মাঠের খেলায় চোখ রাখা দরকার।",NoAG
"এই ধরনের ধর্ষনের শাস্তি আমার কাছে মৃত্যুদন্ড অথবা মিডিল ইষ্টের মত জনস্মুখে জবাই করা উত্তম মনে হয়।কিন্তু;যে বা যারা পড়ালেখা করা উচ্চ শিক্ষিত ছেলে মেয়েরা এই বাংলায় প্রেমের নামে প্রতিদিন ধর্ষিত হয় বা যারা ধর্ষন করে,বা প্রতিদিন শত শত ভ্রুন হত্যা করছে তাদের কি ধরনের শাস্তি হওয়া দরকার!",NoAG
অভিনন্দন আর্জেন্টাইন ফুটবল দল! একজন ব্রাজিলীয় ফ্যান হিসেবে আমি অভিভূত!,NoAG
"স্যালুট আর্জেন্টাইন ফুটবল ফেডারেশনকে , ধন্যবাদ আমাদের বস মেসিকে , তো রাশিয়া বিশ্বকাপে আমি আর্জেন্টাইনদের সাফল্য ও সুস্থতা কামনা করি",NoAG
আর্জেন্টিনার সমর্থক হয়ে ভুল করিনি। আমরা বিশ্বকাপের আগেই বিশ্ব জয় করলাম। মেসি তোমাদের কে ভালোবাসি!,NoAG
কালকে সিদ্ধান্ত নিছিলাম আর্জেন্টিনা সাপোর্ট করবনা আর। আজকে আর্জেন্টিনার প্রতি ভালবাসা আরেকটু বাড়ল।,NoAG
ইসরায়েল এর সাথে খেললে নিশ্চয় হারতো হারজেনটিনা। এই ভাবে তাদের রাশিয়া বিশ্বকাপও না খেলা উচিৎ,NoAG
আমি ব্রাজিল সমর্থক। আর্জেন্টিনার এই সিদ্ধান্তকে স্বাগত জানাই। আর্জেন্টিনা জেরুজালেমের ম্যাচটি খেললে মুসলিম বিশ্বে তাদের সমর্থন হারাতো।,NoAG
"কারো কারো প্রোফাইলে গেলে দেখা যায় ""দিজ প্রোফাইল ইজ লকড"" লেখা।জানতে চাই প্রোফাইল কিভাবে লকড করে?",NoAG
ইসরায়েলের সাথে ম্যাচ বাতিলের জন্য অার্জেন্টিনাকে অনেক ধন্যবাদ ও ভালবাসা,NoAG
আমি ব্যক্তিগত ভাবে একজন ব্রাজিল সাপোর্টার।তবু মেসিদের ইজরায়েল ম্যাচটি বয়কট করার জন্য আন্তরিকভাবে কৃতজ্ঞতা জানাচ্ছি।,NoAG
"আমার কিছু বন্ধু আগে আর্জেন্টিনার সমর্থক আছিল, হঠাৎ করে উনারা এখন ব্রাজিল সমর্থক হয়ে গেল। বিষয়টা হাস্যকর!",NoAG
পারিবারিক শিক্ষার অভাবে এমন ধরনের পশুর জন্ম হচ্ছে,NoAG
"প্লিজ সম্য,সাব্বিরকে আবার দলে আনুন!ওরা খেলা না পারলেও স্টাইল ছিল!...আর এখন যেগুলা আছে এগুলার কিছুই নেই",NoAG
"মোঃ সালাহ এর একক নৈপুণ্যতায় মিশর আজকে বিশ্বকাপে, আশা রাখি সালাহ কাল তার সেরা খেলাটা দিয়ে তার দলের জন্য জয় চিনিয়ে আনবেন",NoAG
"সবসময় সুখে দুখে আর্জেন্টিনার পাশে ছিলাম, আছি এবং থাকব। আর্জেন্টিনার জন্য সবার নিকট দোয়া প্রত্যাশী। ",NoAG
"তুমি যত বুড়া হও অসুবিধা নেই, চেহারা কুঁচকায় যাক নো প্রবলেম, তোমার মনটা এখন যেমনি আছে, ভবিষ্যতে ও যেন তেমনি থাকে এটাই আশা করি।",NoAG
প্রীতমের সাথে দেশের বড় বড় পুলিশ কর্মকর্তাদের সাথে দহরম মহরম সম্পর্ক বিদ্যামান। সে-ই আড়াল থেকে কলকাঠি নেড়েছে।,NoAG
"ভাগ্য ভালো যে মামলায় বলা হয়েছে আসিফ অপমানকর কথা বলেছে, এমন বললেও কিছু বলার ছিলো না যে আসিফ ইয়াবা ব্যবসায়ী",NoAG
"এটা তো গ্ৰেফতার করার মামলাই নয়, তার উপরে আবার রিমান্ড? শুয়োরের বাচ্চারা আইন আদালতের গোয়া মেরে গয়া কাশী পাঠিয়ে দিল।",NoAG
"কি লিখবো ভেবে পাচ্ছি না,তবে একটা কথা বলি, ধর্মকে ধারন করার চেষ্টা করেন,তাহলে ধর্মই ধার্মিককে রক্ষা করবে,সে এহকাল হোক আর পরকাল হোক।লোকনাথ ব্র,হ্মচারীর একটি উপদেশ মনে পরলো, ""আমি কে তা জানার দরকার নেই,শুধু মন আর জল হলেই আমি তুষ্ট """,NoAG
আসিফ ভাই জনপ্রিয় একজন শিল্পী। তার সাথে এমন ব্যবহার তার ভক্তরা কখনো মেনে নিতে পারেনা এবং পারবেও না,NoAG
আসিফ আবার কার পাকা ধানে মই দিলো?আসিফ বিএনপি করে বিধায় উনার উপর ব্যক্তিগত আক্রোশ ঢালা হচ্ছে আর এটাই আমার সোনার বাংলাদেশ!!!,NoAG
সরকারও নানাভাবে চেষ্টা করছে সড়ক দুর্ঘটনা থেকে বেরিয়ে আসতে।,NoAG
"আসিফের সবচেয়ে বড় অপরাধ, উনি জাতীয়তাবাদী রাজনৈতিক মতাদর্শে বিশ্বাসী।সবই রাজনৈতিক প্রতিহিংসা।",NoAG
দ্রুত রিমান্ডে নিলে হয়তো অারো নতুন তথ্য বেড়ীয়ে অাসতে পারে। ধন্যবাদ! বাংলাদেশ পুলিশ প্রশাসন।,NoAG
কতটুকু ঘৃণা জন্মাবে প্রশাসনের প্রতি তার ভক্ত শ্রোতাদের এমন প্রশ্ন একবারও জাগেনি প্রশাসনের l কত খুনের দরবার হয় থানায় বসে আর এই শিল্পীর দরবার হলে এমন কি হতো ,NoAG
"মিশর জিতবে ইনশাআল্লাহ,,, কারণ মিসরের আছে মোহাম্মদ সালাহ র মত বিশ্বমানের তারকা,",NoAG
"জিতলে নাচবে, হারলে গালি দিবে... এটাই এদের বৈশিষ্ট্য.. .. সাপোর্ট তো দিতে পারেনা,পারে খালি মিসবিহেভ করতে",NoAG
"শফিক তুহিন কে?? আজ প্রথম নাম শোনলাম!!শিল্পী আফিসের বিরুদ্ধে অভিযোগ কতটা সত্য, সেটা বলতে পারলাম না! তিনি কি প্রতিহিংসার স্বীকার?",NoAG
বেপারটা খুব জটিল হয়ে যাচেছ।হয়তো এটার পিছনে কোনো রাজনৈতিক ইসো ও কাজ করতে পারে,NoAG
আসিফের একটাই অপরাধ সে বিএনপির রাজনীতি করে তাছাড়া আর কোন অপরাধ নেই ভাগ্যিস তাকে একরামুল এর মতো পরিনতি করে নাই পুলিশ,NoAG
অবশ্যই একটি সাঁজানো নির্বাচনের দিকে যাচ্ছে বাংলাদেশ । এ নির্বাচনে জনগনের মতের প্রতিফলন ঘটবেনা,NoAG
"শুধু বিএন‌পি প‌রিবা‌রের সন্তান, তাই সামান্য এক মামলায় এত্ত‌কিছু !!",NoAG
"এটি সারা বছর প্রয়োজন, তার আগে জাতীয় বেতারে ও জাতীয় টিভিতে জনগন জানাতে হবে। এর পর যদি কেহ আইন না মানে, তার বিরুদ্ধে জরিমানা করতে হবে।",NoAG
মনে হচ্ছে আসিফকে ষড়যন্ত্র করেই গ্রেফতার করা হয়েছে।,NoAG
মুসলমানরা যেখানেই থাকে সেখানেই তারা অন্য সম্প্রদায়ের মানুষের সাথে গন্ডগোল শুরু করে।মুসলমানরা তাদের ধর্মীয় উগ্রতার কারণে পৃথিবীর কোন দেশেই শান্তিতে বসবাস করতে পারে না।,NoAG
বিশ্বের সকল মুসলমানরা চাই উইঘুর স্বাধীনতা। আর মুসলিম দেশ গুলোকে জোরালো উদ্যেগ নিতে হবে । আল্লাহ্ ছারা কোন উপায় নাই।,NoAG
আমি মুসলিম দেশ ছাড়া আর কোন দেশ কে বন্ধু মনে করি না। এরা একে অপরের জাত ভাই।,NoAG
শুনলাম বিশ্বকাপ শুরুর আগে বাংলাদেশ রাংকিং ডাবল সেন্চুরি পূরন করতে পারলে স্বাগতিক রাশিয়াকে বাদ দিয়ে বাংলাদেশকে বিশ্বকাপ খেলার সুযোগ দেওয়া হবে।,NoAG
উরুগুয়ে সুয়ারেস এবং মিশরে মোঃ সালাহ আছে | নিঃ সন্দেহে খেলা টি হাড্ডা-হাড্ডি হবে |,NoAG
আইপিএল থেকে যারা ভালো খেলছে তারা অল্প সময়েই বিখ্যাত খেলোয়াড়দের সরিয়ে জাতীয় দলে স্থান করে নিচ্ছে। আপনাদের ক্রিকেটে পরের জেনারেশন কে তুলে আনতেই হবে।,NoAG
আমরা তো বছরে একটা ম্যাচ জিতলেই খুশি থাকা পাব্লিক। খেলোয়াড় বোর্ড সবাই তাই অই থেরাপিতেই আমাদের মজা দেয়!,NoAG
"সুচিন্তিত মতামত।দারুন বলেছেন।বিষয়টাকে ইতিবাচকভাবে উপস্থাপনের জন্য অসংখ্য ধন্যবাদ,ভাই।",NoAG
"বর্তমান আওয়ামী লীগ শেখ মুজিবের নাম ডুবাচ্ছে। লাভবান হচ্ছে কিছু চামচা নেতা, ক্ষতি হচ্ছে শেখ রেহানার পিতার নাম",NoAG
দেশে কর্মসংস্থানের অভাবে অবৈধভাবে বিদেশ গিয়ে বাইরের দেশে বাংলাদেশীরা ঘৃণার পাত্র হচ্চে। বাংলাদেশের অতিরিক্ত জনসংখ্যা ও কর্মসংস্থানের অভাব এর কারণ।,NoAG
"সবাই এখন মন্ত্রী হওয়ার চিন্তাই বিভোর! খেলার মতো ছোটখাটো বিষয় নিয়ে চিন্তা করার সময় কই বিশ্বসেরা অলরাউন্ডরের? আগামী নির্বাচন, পতাকাবাহী গাড়ী এসব স্বপ্নে রাতে ঘুমোতে পারেন না!",NoAG
একজন রক্তবর্ণ চক্ষুবিশিষ্ট কোচ দরকার। বেত নিয়ে হাটবে আর অথর্বদের পাছায় কস কস করে বাড়ি মারবে।,NoAG
"কোটাভুক্ত খেলোয়াড় বাড়ানো হল তারপর ও হার, আসলে সাকিব কে দিয়ে আর চলবে না কারণ তার খেলায় মনোযোগ নাই তার মণ তো বিনা ভোটে এম. পি, মন্ত্রী হওয়ার খায়েশ।",NoAG
"এটা পাকিস্তান নয় এটা আফগানিস্তান, তাই হার জিত এর খেলায় অহংকার কম করা উচিত।",NoAG
বাংলাদেশে কোনও বোলারের গুগলি নাই।।আর সাকিব তো এমপি হবার স্বপ্নে বলিংটা দিনকে দিন সাদামটা হয়ে যাচ্ছে,NoAG
"প্রতিটি সার্থক প্রেমের কবিতা বলতে বোঝায় যে কবি প্রেমিকাকে পায় নি, প্রতিটি ব্যর্থ প্রেমের কবিতা বোঝায় যে কবি প্রেমিকাকে বিয়ে করেছে।",NoAG
এগিয়ে যাও বাংলাদেশ টাইগার বাহিনী । ১৮ কোটি মানুষ আপনাদের পিছনে আছে । তোমরা ভয় কর না জয় করো,NoAG
আজকের খেলায় আমি উরুগুয়ে সাপোর্ট করব | তারপরও মিশর খুব ভালো খেলে |,NoAG
ইর্কাদি দলে ঢুকবে।মেসির নেতৃত্বে আর্জেন্টিনার আক্রমন ভাগ বিশ্বের সেরা তাই বিশ্বকাপ আর্জেন্টিনায় জিতবে,NoAG
"এই বার হয়নি তো কি হয়েছে,পরের বার হবে! গো টাইগার গো!",NoAG
"আপনার জালায় আমরা শেষ হইয়া যাচ্ছি, আপনি আর কতো মিথ্যা কথা বলবেন?কোন দেশের প্রধান এতো মিথ্যা বলে নাকি?আপনাকে ছাএরা এখন ঘৃনা করে।",NoAG
"পর সমালোচনা কারী কে আল্লাহ্‌ পছন্দ করেন না, পর সমালোচনা হল গীবত করা, গীবত করা মানে তার মায়ের শরীরের মাংস চিবিয়ে খাওয়ার সমান।",NoAG
মোবাইলটা কিছুক্ষণ চার্জ দিয়ে নি তারপর বলছি ,NoAG
"মেয়েদের হয়েছে, ছেলেদের হয় নি। কারণ তারা তো ছেলে",NoAG
বিশ্বকাপ মানেই ব্রাজিল। কিছু আবাল আছে কিছু আজাইরা দল নিয়া পকপক করে। যে গুলো নাকি অনেক কষ্ট করে বিশ্বকাপে উঠেছে।,NoAG
"ইয়াবা খেলে চেতনা শক্তিশালী হয়। আইফেল টাওয়ারের ন্যায় শক্ত হয়। বদি সাহেবকে ধন্যবাদ, মায়ানমার থেকে ইয়াবা এনে দেশের অর্থনীতির চাকাকে স্যাটেলাইটের গতি দেবার জন্য।",NoAG
এই রিপোটটাই এই অভিযানের যোক্তিকতা প্রমান করছে।এই অভিযান চলুক।,NoAG
বদি ভাই প্রকাশ্যে সৌদি আরবে গেছে কোন শালায় কয় তিনি গোপনে সৌদি আরব গেছে?,NoAG
"যাদের নামে, থানাই মামলা আছে, তাদের কে ক্রসফায়ার করা হউক",NoAG
গডফাদাররা সব ক্ষমতাশীন দলের লোক ধরে পড়বে কিভাবে,NoAG
"হাড্ডাহাড্ডি খেলা হবে অবশ্যই বলা যায়.কিন্তু,মনে হচ্ছে খেলা ড্র হবে বা উরুগুয়ে জিতবে ১-০ তে.",NoAG
শত বড় অপরাধ করার পরও খুব সহজে  ক্ষমা করে দেওয়া মানুষরাই আসলে আপনজন। আমার সেই সব আপন মানুষরাই আমার জীবনের প্রতিটা মুহূর্তের চলার সঙ্গী এবং আদর্শের ও....আজ বা অতীতে যা করছি সব কিছুর জন্য সত্যিই আমি অনুতপ্ত। এইভাবেই পাশে থাকার চেষ্টা করো যদিও আমি হাজারও ভুল করি। আর অবশ্যই ধন্যবাদ না দিয়ে পারলাম না।,NoAG
"মানসিক বিকারগ্রস্ত একজন মানুষ কে কেউ আইডল মনে করে না। উনি মানুষ কে মজা দিচ্ছে, মানুষ মজা নিচ্ছে। শুধু এই টুকুই। এই আজাইরা ব্যাপার নিয়ে মাথা ঘামানো বোকামি ছাড়া কিছুই না।",NoAG
এদের শাস্তি হওয়া উচিত,NoAG
"বাংলাদেশের সরকারি শিক্ষকরা বর্তমানে শিক্ষার্থীর সাথে আদিমকালের মত আচরন করিতেছে,যার বিবরন দেশের দৈনিক পত্রিকায় প্রতিদিন প্রতিবেদন তুলে ধরা হচ্ছে।",NoAG
"নতুন কিছু না, ডিক্লেয়ার দিয়ে ধরা আরম্ভ করলে তাই হবে",NoAG
"আইন শুধু অপরাধ ধরে আর ঝাড়ে,  নির্মুল করতে পারে না।",NoAG
আওয়ামীলীগ দেশ কে উন্নয়নের জোয়ারে ভাসিয়ে ভারতে পাঠিয়েছে। আবার ক্ষমতায় আসলে উন্নয়নের বন্যায় উগান্ডায় পাঠিয়ে দেবেন বলে আশা করি।।জয় বাংলা,NoAG
সরকারের ইচ্ছাই এরা আত্নগোপন হতে পারছে,NoAG
"কি আর বলব দেশ তো আমাদেরই, যা কিছু যাচ্ছে সব কিছু প্রশাসনের ওপর যাচ্ছে",NoAG
"আমি আর্জেন্টিনার সাপোর্ট হয়ে এবার বিশ্বকাপ চাই না, কারণ আর্জেন্টিনা কাপ জিতলে নেইমার কে সারা জীবন চিরকুমার থাকতে হবে, কারণ বান্দবী বলেদিয়েছে নেইমার এবার বিশ্বকাপ জিতলে তাকে বিয়া করবে, না হলে করবে না,",NoAG
উনি খুবই বিচক্ষণ ব‍্যবসায়ী দেখতে চাই কীভাবে উনি মার্ক জুকারবার্গকে চিন্তায় ফেলেন,NoAG
"বাবারে রুমে আটকাইয়া টানা ৫ বার নুসরাতফারিয়ার পটকা গান আর মাফুজুর রহমানের সুখ পাখি গান হুনান লাগবে, তাইলে বাবা ঠিক হবে",NoAG
আরেকটা বউ আছে সে কথাটা নাকি সে কাজী অফিসে গিয়ে বলছে বিয়ের সময়!!!!,NoAG
বাবা রামদেব আপনি যদি পাতাঞ্জালি হারবাল উট মুত্র বাজারে আনতেন তাহলে ভারত বাংলাদের অহিন্দুের কিছুটা উপকারে আসতো।,NoAG
মাছরাঙা চ্যানেলের সবচেয়ে জনপ্রিয় অনুষ্ঠান দিরিলিস বন্ধ করবেন না দয়া করে। হাতজোড় করে বলছি দিরিলিস প্রচার বন্ধ করবেন না,NoAG
আপনার এত সুন্দর কনসেপ্ট আর আইডিয়াগুলো সত্যিই যত পড়ি যত দেখি ততই অনুপ্রাণিত হই। ,NoAG
আপনারা চাইলে এক দিনে ২০ হাজার কম্বল কিছুই না ,NoAG
ভাই লোকটাকে মারা হয়েছিল তার প্রকৃত অপরাধ ছিল সে সংসদ ভবন খেজুর বাগানের সামনে থেকে পতিতা ভাড়া করেছিল।,NoAG
অবশ্যই বাংলাদেশের হারানোর কিছু ছিল।যে দলটা বিশ্ব চ্যাম্পিয়ন দের হারিয়ে ফাইনাল খেলতে পারে তাদের হারানোর অনেক কিছুই থাকে।,NoAG
ছাগল রে এটা অনেক আগের খবর।রামদেবের এপ ফেল করেছে।প্লে স্টোরে মাত্র ৬ ঘন্টা ছিল এপটা তুলে নিয়ে আবার পরীক্ষা নিরীক্ষা চলছে।,NoAG
আসুন আমরা বাংলাদেশীরা সবাই স্বদেশী পণ্য ব্যবহার করি।,NoAG
ভারত নামের দেশটা না থাকলে আমরা প্রতিদিন এত নিখাদ বিনোদন পেতাম না। জয় গোমূত্রের জয়,NoAG
এত নিরাপত্তাহীনতার মধ্যেও দেশটা পরিষ্কার রাখার কাজ চালিয়ে যাচ্ছে তাই ওনাকে সেলুট। আর সরকারের দামী চেয়ারে বসা মানুষগুলোকে (যারা এদের দায়িত্বে আছে) ধিক্কার।,NoAG
খারাপ মেয়েরা ধরা পড়লে পরোমান চায়। আর ভাল মেয়েরা ভুল করলে বুঝতে পারে। চোরের মার বড় গলা এটা মেয়েরাই পারে।,NoAG
এসকে সিনহা আপনাদের চরিত্র তুলে ধরেছে । আপনারা যে আসলে একটি স্বৈরচার সরকার তা উনি বলে দিলেন । এতে আপনাদের কোন ক্ষতি হবে না । কারন ক্ষমতা মোহে আপনাদের কাছে লজ্জা সরম ও বিবেক সব গুলিই আজ আপনাদের নেই । তাই নির্বাচন নাটক করে নতুন ভাবে আবার ক্ষমতার স্বপ্ন যেন হিতাহিত জ্ঞান শূন্য,NoAG
সাংসদ সাহবেদের ৭৫ হাজার টাকার মোবাইল দিছে ক্যান? এইসব ছবি তুলে সংসদে উপস্থাপন করার লাইগা,NoAG
এতোটা ত্যাগের বিনিময়ে ও তারা আমাদের সুন্দর একটা পরিবেশ উপহার দিতে পারছে না! কারণ আমরা জাতি হিসেবে প্রচন্ড রকমের অসভ্য ও বর্বর!!,NoAG
দেশ নাকি ডিজিটাল হইলো কিন্তু গরিবের কি উপকার হইল??এদের জন্য কি কোন ব্যবস্থা গ্রহন করবে না সরকার?,NoAG
এদের উন্নতি না হলে দেশের উন্নতি হবেনা। সরকার তো বড় বড় উন্নয়নে ব্যস্ত। ছোটগুলো দেখার টাইম নাই। পানি আর গ্যাসের জন্য নগরের মানুষের কষ্টের শেষ নেই।,NoAG
"অভিজ্ঞতার ঝুঁড়িটা দীর্ঘ হচ্ছে প্রতিনিয়ত,আর কিছু অপ্রিয় সত্য ও সামনে আসছে নতুন করে।স্মৃতিগুলা অাছে বলেই জীবনটা এতোটা প্রাণবন্ত লাগে।এমনই চলতে থাকুক অনন্তকাল..........",NoAG
